i,t,Capacity
146,9,213270
146,10,213270
146,11,213270
146,12,213270
147,1,1255924
147,2,1255924
147,3,1255924
147,4,1255924
147,5,1255924
147,6,1255924
147,7,1255924
147,8,1255924
147,9,1255924
147,10,1255924
147,11,1255924
147,12,1255924
148,1,2132701
148,2,2132701
148,3,2132701
148,4,2132701
148,5,2132701
148,6,2132701
148,7,2132701
148,8,2132701
148,9,2132701
148,10,2132701
148,11,2132701
148,12,2132701
149,1,592417
149,2,592417
149,3,592417
149,4,592417
149,5,592417
149,6,592417
149,7,592417
149,8,592417
149,9,592417
149,10,592417
149,11,592417
149,12,592417
150,1,2132701
150,2,2132701
150,3,2132701
150,4,2132701
150,5,2132701
150,6,2132701
150,7,2132701
150,8,2132701
150,9,2132701
150,10,2132701
150,11,2132701
150,12,2132701
151,1,805687
151,2,805687
151,3,805687
151,4,805687
151,5,805687
151,6,805687
151,7,805687
151,8,805687
151,9,805687
151,10,805687
151,11,805687
151,12,805687
152,1,592417
152,2,592417
152,3,592417
152,4,592417
152,5,592417
152,6,592417
152,7,592417
152,8,592417
152,9,592417
152,10,592417
152,11,592417
152,12,592417
153,1,1635071
153,2,1635071
153,3,1635071
153,4,1635071
153,5,1635071
153,6,1635071
153,7,1635071
153,8,1635071
153,9,1635071
153,10,1635071
