i,t,Capacity
122,4,230000
122,5,230000
122,6,230000
122,7,230000
122,8,230000
122,9,230000
122,10,230000
122,11,230000
122,12,230000
123,1,265000
123,2,265000
123,3,265000
123,4,265000
123,5,265000
123,6,265000
123,7,265000
123,8,265000
123,9,265000
123,10,265000
123,11,265000
123,12,265000
124,1,125000
124,2,125000
124,3,125000
124,4,125000
124,5,125000
124,6,125000
124,7,125000
124,8,125000
124,9,125000
124,10,125000
124,11,125000
124,12,125000
125,1,45000
125,2,45000
125,3,45000
125,4,45000
125,5,45000
125,6,45000
125,7,45000
125,8,45000
125,9,45000
125,10,45000
125,11,45000
125,12,45000
126,1,345000
126,2,345000
126,3,345000
126,4,345000
126,5,345000
126,6,345000
126,7,345000
126,8,345000
126,9,345000
126,10,345000
126,11,345000
126,12,345000
127,1,45000
127,2,45000
127,3,45000
127,4,45000
127,5,45000
127,6,45000
127,7,45000
127,8,45000
127,9,45000
127,10,45000
127,11,45000
127,12,45000
128,1,125000
128,2,125000
128,3,125000
128,4,125000
128,5,125000
128,6,125000
128,7,125000
128,8,125000
128,9,125000
128,10,125000
128,11,125000
128,12,125000
129,1,125000
129,2,125000
129,3,125000
129,4,125000
129,5,125000
129,6,125000
129,7,125000
129,8,125000
129,9,125000
129,10,125000
129,11,125000
129,12,125000
130,1,230000
130,2,230000
130,3,230000
130,4,230000
130,5,230000
130,6,230000
130,7,230000
130,8,230000
130,9,230000
130,10,230000
130,11,230000
130,12,230000
131,1,345000
131,2,345000
131,3,345000
131,4,345000
131,5,345000
131,6,345000
131,7,345000
131,8,345000
131,9,345000
131,10,345000
131,11,345000
131,12,345000
132,1,125000
132,2,125000
132,3,125000
132,4,125000
132,5,125000
132,6,125000
132,7,125000
132,8,125000
132,9,125000
132,10,125000
132,11,125000
132,12,125000
133,1,370000
133,2,370000
133,3,370000
133,4,370000
133,5,370000
133,6,370000
133,7,370000
133,8,370000
133,9,370000
133,10,370000
133,11,370000
133,12,370000
134,1,45000
134,2,45000
134,3,45000
134,4,45000
134,5,45000
134,6,45000
134,7,45000
134,8,45000
134,9,45000
134,10,45000
134,11,45000
134,12,45000
135,1,125000
135,2,125000
135,3,125000
135,4,125000
135,5,125000
135,6,125000
135,7,125000
135,8,125000
135,9,125000
135,10,125000
135,11,125000
135,12,125000
136,1,450000
136,2,450000
136,3,450000
136,4,450000
136,5,450000
136,6,450000
136,7,450000
136,8,450000
136,9,450000
136,10,450000
136,11,450000
136,12,450000
137,1,45000
137,2,45000
137,3,45000
137,4,45000
137,5,45000
137,6,45000
137,7,45000
137,8,45000
137,9,45000
137,10,45000
137,11,45000
137,12,45000
138,1,125000
138,2,125000
138,3,125000
138,4,125000
138,5,125000
138,6,125000
138,7,125000
138,8,125000
138,9,125000
138,10,125000
138,11,125000
138,12,125000
139,1,45000
139,2,45000
139,3,45000
139,4,45000
139,5,45000
139,6,45000
139,7,45000
139,8,45000
139,9,45000
139,10,45000
139,11,45000
139,12,45000
140,1,345000
140,2,345000
140,3,345000
140,4,345000
140,5,345000
140,6,345000
140,7,345000
140,8,345000
140,9,345000
140,10,345000
140,11,345000
140,12,345000
141,1,265000
141,2,265000
141,3,265000
141,4,265000
141,5,265000
141,6,265000
141,7,265000
141,8,265000
141,9,265000
141,10,265000
141,11,265000
141,12,265000
142,1,125000
142,2,125000
142,3,125000
142,4,125000
142,5,125000
142,6,125000
142,7,125000
142,8,125000
142,9,125000
142,10,125000
142,11,125000
142,12,125000
143,1,345000
143,2,345000
143,3,345000
143,4,345000
143,5,345000
143,6,345000
143,7,345000
143,8,345000
143,9,345000
143,10,345000
143,11,345000
143,12,345000
144,1,345000
144,2,345000
144,3,345000
144,4,345000
144,5,345000
144,6,345000
144,7,345000
144,8,345000
144,9,345000
144,10,345000
144,11,345000
144,12,345000
145,1,45000
145,2,45000
145,3,45000
145,4,45000
145,5,45000
145,6,45000
145,7,45000
145,8,45000
145,9,45000
145,10,45000
145,11,45000
145,12,45000
146,1,45000
146,2,45000
146,3,45000
146,4,45000
146,5,45000
146,6,45000
146,7,45000
146,8,45000
146,9,45000
146,10,45000
146,11,45000
146,12,45000
147,1,265000
147,2,265000
147,3,265000
147,4,265000
147,5,265000
147,6,265000
147,7,265000
147,8,265000
147,9,265000
147,10,265000
147,11,265000
147,12,265000
148,1,450000
148,2,450000
148,3,450000
148,4,450000
148,5,450000
148,6,450000
148,7,450000
148,8,450000
148,9,450000
148,10,450000
148,11,450000
148,12,450000
149,1,125000
149,2,125000
149,3,125000
149,4,125000
149,5,125000
149,6,125000
149,7,125000
149,8,125000
149,9,125000
149,10,125000
149,11,125000
149,12,125000
150,1,450000
150,2,450000
150,3,450000
150,4,450000
150,5,450000
150,6,450000
150,7,450000
150,8,450000
150,9,450000
150,10,450000
150,11,450000
150,12,450000
151,1,170000
151,2,170000
151,3,170000
151,4,170000
151,5,170000
151,6,170000
151,7,170000
151,8,170000
151,9,170000
151,10,170000
151,11,170000
151,12,170000
152,1,125000
152,2,125000
152,3,125000
152,4,125000
152,5,125000
152,6,125000
152,7,125000
152,8,125000
152,9,125000
152,10,125000
152,11,125000
152,12,125000
153,1,345000
153,2,345000
153,3,345000
153,4,345000
153,5,345000
153,6,345000
153,7,345000
153,8,345000
153,9,345000
153,10,345000
153,11,345000
153,12,345000
154,1,345000
154,2,345000
154,3,345000
154,4,345000
154,5,345000
154,6,345000
154,7,345000
154,8,345000
154,9,345000
154,10,345000
154,11,345000
154,12,345000
155,1,125000
155,2,125000
155,3,125000
155,4,125000
155,5,125000
155,6,125000
155,7,125000
155,8,125000
155,9,125000
155,10,125000
155,11,125000
155,12,125000
156,1,345000
156,2,345000
156,3,345000
156,4,345000
156,5,345000
156,6,345000
156,7,345000
156,8,345000
156,9,345000
156,10,345000
156,11,345000
156,12,345000
157,1,125000
157,2,125000
157,3,125000
157,4,125000
157,5,125000
157,6,125000
157,7,125000
157,8,125000
157,9,125000
157,10,125000
157,11,125000
157,12,125000
158,1,125000
158,2,125000
158,3,125000
158,4,125000
158,5,125000
158,6,125000
158,7,125000
158,8,125000
158,9,125000
158,10,125000
158,11,125000
158,12,125000
159,1,345000
159,2,345000
159,3,345000
159,4,345000
159,5,345000
159,6,345000
159,7,345000
159,8,345000
159,9,345000
159,10,345000
159,11,345000
159,12,345000
160,1,345000
160,2,345000
160,3,345000
160,4,345000
160,5,345000
160,6,345000
160,7,345000
160,8,345000
160,9,345000
160,10,345000
160,11,345000
160,12,345000
161,1,345000
161,2,345000
161,3,345000
161,4,345000
161,5,345000
161,6,345000
161,7,345000
161,8,345000
161,9,345000
161,10,345000
161,11,345000
161,12,345000
162,1,345000
162,2,345000
162,3,345000
162,4,345000
162,5,345000
162,6,345000
162,7,345000
162,8,345000
162,9,345000
162,10,345000
162,11,345000
162,12,345000
163,1,345000
163,2,345000
163,3,345000
163,4,345000
163,5,345000
163,6,345000
163,7,345000
163,8,345000
163,9,345000
163,10,345000
163,11,345000
163,12,345000
164,1,230000
164,2,230000
164,3,230000
164,4,230000
164,5,230000
164,6,230000
164,7,230000
164,8,230000
164,9,230000
164,10,230000
164,11,230000
164,12,230000
165,1,495000
165,2,495000
165,3,495000
165,4,495000
165,5,495000
165,6,495000
165,7,495000
165,8,495000
165,9,495000
165,10,495000
165,11,495000
165,12,495000
166,1,425000
166,2,425000
166,3,425000
166,4,425000
166,5,425000
166,6,425000
166,7,425000
166,8,425000
166,9,425000
166,10,425000
166,11,425000
166,12,425000
