372,Muzaffarpur ,Bochaha PHC,"Bochaha PHC, Muzaffarpur "
373,Muzaffarpur ,Gayghat PHC,"Gayghat PHC, Muzaffarpur "
374,Muzaffarpur ,Kanti PHC,"Kanti PHC, Muzaffarpur "
375,Muzaffarpur ,Katra PHC,"Katra PHC, Muzaffarpur "
376,Muzaffarpur ,Kudhani PHC,"Kudhani PHC, Muzaffarpur "
377,Muzaffarpur ,Marwan PHC,"Marwan PHC, Muzaffarpur "
378,Muzaffarpur ,Minapur PHC,"Minapur PHC, Muzaffarpur "
379,Muzaffarpur ,Motipur PHC,"Motipur PHC, Muzaffarpur "
380,Muzaffarpur ,Muraul PHC,"Muraul PHC, Muzaffarpur "
381,Muzaffarpur ,Mushari PHC,"Mushari PHC, Muzaffarpur "
382,Muzaffarpur ,Sadar Hospital Muzaffarpur DH,"Sadar Hospital Muzaffarpur DH, Muzaffarpur "
383,Muzaffarpur ,Sri Krishna Medical College and Hospital,"Sri Krishna Medical College and Hospital, Muzaffarpur "
384,Muzaffarpur ,Urban Muzaffarpur,"Urban Muzaffarpur, Muzaffarpur "
385,Muzaffarpur ,Paroo PHC,"Paroo PHC, Muzaffarpur "
386,Muzaffarpur ,Sahebganj PHC,"Sahebganj PHC, Muzaffarpur "
387,Muzaffarpur ,Sakra PHC,"Sakra PHC, Muzaffarpur "
388,Muzaffarpur ,Saraiya PHC,"Saraiya PHC, Muzaffarpur "
389,Nalanda ,Asthawan PHC,"Asthawan PHC, Nalanda "
390,Nalanda ,Ben PHC,"Ben PHC, Nalanda "
391,Nalanda ,Biharsharif urban PHC,"Biharsharif urban PHC, Nalanda "
392,Nalanda ,Chandi PHC,"Chandi PHC, Nalanda "
393,Nalanda ,Ekangarsarai PHC,"Ekangarsarai PHC, Nalanda "
394,Nalanda ,Giriyak PHC,"Giriyak PHC, Nalanda "
395,Nalanda ,Hilsa PHC,"Hilsa PHC, Nalanda "
396,Nalanda ,Islampur PHC,"Islampur PHC, Nalanda "
397,Nalanda ,Karaiparsurai PHC,"Karaiparsurai PHC, Nalanda "
398,Nalanda ,Katrisarai PHC,"Katrisarai PHC, Nalanda "
399,Nalanda ,Bind PHC,"Bind PHC, Nalanda "
400,Nalanda ,Nagarnausa PHC,"Nagarnausa PHC, Nalanda "
401,Nalanda ,Harnaut PHC,"Harnaut PHC, Nalanda "
402,Nalanda ,Noorsarai PHC,"Noorsarai PHC, Nalanda "
403,Nalanda ,Parwalpur PHC,"Parwalpur PHC, Nalanda "
404,Nalanda ,Rahui PHC,"Rahui PHC, Nalanda "
405,Nalanda ,Rajgir PHC,"Rajgir PHC, Nalanda "
406,Nalanda ,Biharsharif sadar PHC,"Biharsharif sadar PHC, Nalanda "
407,Nalanda ,Sarmera PHC,"Sarmera PHC, Nalanda "
408,Nalanda ,Silao PHC,"Silao PHC, Nalanda "
409,Nalanda ,Tharthari PHC,"Tharthari PHC, Nalanda "
410,Nawada ,Akbarpur PHC,"Akbarpur PHC, Nawada "
411,Nawada ,GovindPur PHC,"GovindPur PHC, Nawada "
412,Nawada ,Hisua PHC,"Hisua PHC, Nawada "
413,Nawada ,Kasichak PHC,"Kasichak PHC, Nawada "
414,Nawada ,Kawakol PHC,"Kawakol PHC, Nawada "
415,Nawada ,Meskour PHC,"Meskour PHC, Nawada "
416,Nawada ,Nardiganj PHC,"Nardiganj PHC, Nawada "
417,Nawada ,Narhat PHC,"Narhat PHC, Nawada "
418,Nawada ,Nawada Sadar Hospital DH,"Nawada Sadar Hospital DH, Nawada "
419,Nawada ,Sadar Block PHC,"Sadar Block PHC, Nawada "
420,Nawada ,Pakribrawan PHC,"Pakribrawan PHC, Nawada "
421,Nawada ,Rajauli PHC,"Rajauli PHC, Nawada "
422,Nawada ,Roh PHC,"Roh PHC, Nawada "
423,Nawada ,Sirdala PHC,"Sirdala PHC, Nawada "
424,Nawada ,Warisaliganj PHC,"Warisaliganj PHC, Nawada "
425,Patna ,Athmalgola PHC,"Athmalgola PHC, Patna "
426,Patna ,Bakhtiyarpur PHC,"Bakhtiyarpur PHC, Patna "
427,Patna ,Barh PHC,"Barh PHC, Patna "
428,Patna ,Belchi PHC,"Belchi PHC, Patna "
429,Patna ,Bihta PHC,"Bihta PHC, Patna "
430,Patna ,Bikram PHC,"Bikram PHC, Patna "
431,Patna ,Danapur PHC,"Danapur PHC, Patna "
432,Patna ,Daniyawan PHC,"Daniyawan PHC, Patna "
